epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,914.634,0.9679,0.71689,1.11469,0.69973,0.56276,0.6168,0.32999,1.64254,1.39089,1.66257,0.000693125,0.000693125,0.000693125
137,921.253,0.93342,0.69368,1.10942,0.6865,0.56043,0.61871,0.33906,1.63695,1.41941,1.65079,0.000689,0.000689,0.000689
138,927.87,0.93764,0.70593,1.11281,0.67281,0.61759,0.64306,0.32739,1.66176,1.41652,1.64121,0.000684875,0.000684875,0.000684875
139,934.522,0.9623,0.70988,1.08713,0.66734,0.55803,0.61792,0.32461,1.62292,1.46231,1.64263,0.00068075,0.00068075,0.00068075
140,941.106,0.95174,0.66535,1.07347,0.71626,0.57019,0.63978,0.3397,1.66345,1.45985,1.66969,0.000676625,0.000676625,0.000676625
141,947.611,0.98149,0.68155,1.0969,0.7332,0.59214,0.63441,0.32463,1.66468,1.48198,1.66851,0.0006725,0.0006725,0.0006725
142,954.11,0.95047,0.70747,1.10462,0.68357,0.59072,0.63198,0.32546,1.64598,1.44457,1.67679,0.000668375,0.000668375,0.000668375
143,960.839,0.94463,0.65063,1.09293,0.7143,0.58281,0.63452,0.33239,1.62512,1.37209,1.65876,0.00066425,0.00066425,0.00066425
144,967.321,0.94139,0.66673,1.07597,0.67636,0.59284,0.64409,0.33575,1.69437,1.45077,1.70011,0.000660125,0.000660125,0.000660125
145,974.143,0.91968,0.65053,1.06518,0.60568,0.67637,0.6527,0.34568,1.65973,1.35862,1.68668,0.000656,0.000656,0.000656
146,980.656,0.93502,0.65855,1.09121,0.67869,0.62453,0.65619,0.35331,1.62054,1.36732,1.64072,0.000651875,0.000651875,0.000651875
147,987.268,0.9137,0.65699,1.08676,0.65305,0.5885,0.64859,0.33929,1.63836,1.42456,1.65805,0.00064775,0.00064775,0.00064775
148,993.984,0.94295,0.66493,1.09359,0.61447,0.6676,0.63443,0.31784,1.6618,1.44383,1.68382,0.000643625,0.000643625,0.000643625
149,1000.59,0.93231,0.66247,1.10009,0.71091,0.62598,0.66086,0.33439,1.63934,1.34489,1.64848,0.0006395,0.0006395,0.0006395
150,1007.33,0.9414,0.67851,1.07856,0.74437,0.624,0.66439,0.34419,1.65537,1.41697,1.6381,0.000635375,0.000635375,0.000635375
151,1014.17,0.90185,0.62726,1.04201,0.73498,0.61491,0.66113,0.34915,1.67225,1.38758,1.66054,0.00063125,0.00063125,0.00063125
152,1020.76,0.92094,0.65003,1.06463,0.68848,0.66181,0.666,0.34897,1.66258,1.34991,1.662,0.000627125,0.000627125,0.000627125
153,1027.46,0.96656,0.68477,1.08347,0.66082,0.62527,0.65918,0.34389,1.67369,1.41946,1.69305,0.000623,0.000623,0.000623
154,1034.19,0.93151,0.63407,1.08173,0.70385,0.63038,0.66422,0.33632,1.6571,1.36,1.68339,0.000618875,0.000618875,0.000618875
155,1040.8,0.90664,0.649,1.06892,0.70312,0.55918,0.63705,0.34804,1.67718,1.46005,1.6705,0.00061475,0.00061475,0.00061475
156,1047.53,0.90301,0.63116,1.05239,0.67658,0.56925,0.62438,0.33388,1.70376,1.47556,1.6985,0.000610625,0.000610625,0.000610625
157,1054.27,0.91777,0.65259,1.06452,0.67656,0.55317,0.602,0.30944,1.69449,1.5087,1.69374,0.0006065,0.0006065,0.0006065
158,1060.83,0.89268,0.64661,1.05288,0.72391,0.58598,0.6613,0.33718,1.69487,1.40536,1.71346,0.000602375,0.000602375,0.000602375
159,1067.47,0.89704,0.6374,1.05928,0.59228,0.71539,0.66984,0.34536,1.61562,1.37076,1.65494,0.00059825,0.00059825,0.00059825
160,1074.1,0.8845,0.60179,1.0385,0.70898,0.57948,0.64234,0.35061,1.6706,1.48856,1.67653,0.000594125,0.000594125,0.000594125
161,1080.55,0.86885,0.61325,1.05315,0.70554,0.5906,0.63906,0.33565,1.71134,1.48477,1.74902,0.00059,0.00059,0.00059
162,1087.43,0.90985,0.64626,1.06887,0.72994,0.5724,0.61915,0.3206,1.70581,1.54429,1.71333,0.000585875,0.000585875,0.000585875
163,1094.43,0.86733,0.62717,1.04954,0.76039,0.57009,0.64211,0.33859,1.64815,1.38761,1.69658,0.00058175,0.00058175,0.00058175
164,1101.21,0.88052,0.61381,1.04006,0.69162,0.57635,0.61872,0.3162,1.70111,1.43771,1.76625,0.000577625,0.000577625,0.000577625
